year,scenario_code,scenario,s_mil_2025_assumed,g_world,d_mil,d_rest,epsilon,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,E_mil_Gt,E_rest_Gt,E_world_Gt,s_mil,analysis,GDP_valuation,GDP_world_2025_calibrated,s_NATO_GDP_2025_calibrated,m_nonNATO_2025_calibrated,cum_E_mil_Gt,E_mil_S0_Gt,incremental_E_mil_vs_S0_Gt,cum_incremental_E_mil_vs_S0_Gt
2025,S0,Baseline,0.033,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,1.9029255750000003,3.3552434500000006,5.258169025000001,0.34203921392580183,0.2569944987305753,1.7985000000000002,52.70150000000001,54.50000000000001,0.033,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,1.7985000000000002,1.7985000000000002,0.0,0.0
2026,S0,Baseline,0.033,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,1.9600133422500003,3.4559007535000004,5.415914095750001,0.3386188217865438,0.25442455374326955,1.83393045,53.739719550000004,55.57365,0.033,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,3.63243045,1.83393045,0.0,0.0
2027,S0,Baseline,0.033,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,2.0188137425175,3.5595777761050007,5.578391518622501,0.3352326335686784,0.25188030820583684,1.8700588798650004,54.79839202513501,56.66845090500001,0.033,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,5.502489329865001,1.8700588798650004,0.0,0.0
2028,S0,Baseline,0.033,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,2.0793781547930252,3.66636510938815,5.745743264181176,0.3318803072329916,0.24936150512377847,1.9068990397983407,55.87792034803016,57.7848193878285,0.033,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,7.409388369663342,1.9068990397983407,0.0,0.0
2029,S0,Baseline,0.033,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,2.1417594994368163,3.7763560626697954,5.918115562106612,0.32856150416066165,0.24686789007254067,1.9444649508823681,56.97871537888635,58.92318032976872,0.03300000000000001,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,9.35385332054571,1.9444649508823681,0.0,0.0
2030,S0,Baseline,0.033,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,2.206012284419921,3.889646744549889,6.095659028969809,0.32527588911905503,0.24439921117181526,1.9827709104147502,58.10119607185042,60.08396698226517,0.032999999999999995,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,11.33662423096046,1.9827709104147502,0.0,0.0
2031,S0,Baseline,0.033,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,2.2721926529525183,4.006336146886386,6.278528799838904,0.3220231302278645,0.24195521906009712,2.0218314973499214,59.24578963446587,61.267621131815794,0.033,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,13.358455728310382,2.0218314973499214,0.0,0.0
2032,S0,Baseline,0.033,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,2.340358432541094,4.126526231292978,6.4668846638340725,0.31880289892558583,0.23953566686949612,2.061661577847715,60.41293169026484,62.47459326811256,0.03300000000000001,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,15.420117306158096,2.061661577847715,0.0,0.0
2033,S0,Baseline,0.033,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,2.410569185517327,4.250322018231768,6.660891203749095,0.31561486993633,0.23714031020080117,2.102276310931315,61.60306644456308,63.7053427554944,0.033,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,17.52239361708941,2.102276310931315,0.0,0.0
2034,S0,Baseline,0.033,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,2.482886261082847,4.377831678778721,6.860717939861567,0.31245872123696666,0.23476890709879317,2.1436911542566617,62.81664685352097,64.96033800777764,0.032999999999999995,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,19.66608477134607,2.1436911542566617,0.0,0.0
